"customerid","count","quarter","referred_a_friend","number_of_referrals","tenure_in_months","offer","phone_service","avg_monthly_long_distance_charges","multiple_lines","internet_service","internet_type","avg_monthly_gb_download","online_security","online_backup","device_protection_plan","premium_tech_support","streaming_tv","streaming_movies","streaming_music","unlimited_data","contract","paperless_billing","payment_method","monthly_charge","total_charges","total_refunds","total_extra_data_charges","total_long_distance_charges","total_revenue","satisfaction_score","customer_status","churn_label","churn_value","churn_score","cltv","churn_category","churn_reason","country","state","city","zip_code","lat_long","latitude","longitude","gender","age","under_30","senior_citizen","married","dependents","number_of_dependents","population"
"5268-DSMNQ",1,"Q3","Yes",5,62,"None","Yes","11.41","Yes","Yes","Fiber Optic",25,"No","Yes","Yes","No","Yes","No","No","Yes","One Year","Yes","Credit Card","97.95","5936.55","0.00","0.00","707.42","6643.97",5,"Stayed","No",0,50,5428,NULL,NULL,"United States","California","Farmington","95230","37.956963, -120.863055","37.95696300","-120.86305500","Female",65,"No","Yes","Yes","No",0,596
"6242-MBHPK",1,"Q3","Yes",1,23,"None","Yes","41.88","No","Yes","Fiber Optic",12,"Yes","No","No","No","Yes","Yes","Yes","Yes","One Year","Yes","Bank Withdrawal","95.10","2326.05","0.00","0.00","963.24","3289.29",3,"Stayed","No",0,66,4025,NULL,NULL,"United States","California","Hathaway Pines","95233","38.184914, -120.364085","38.18491400","-120.36408500","Female",67,"No","Yes","Yes","No",0,335
"4782-OSFXZ",1,"Q3","Yes",1,71,"Offer A","Yes","37.53","Yes","Yes","DSL",24,"Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Two Year","Yes","Bank Withdrawal","82.70","5831.20","0.00","0.00","2664.63","8495.83",3,"Stayed","No",0,20,5089,NULL,NULL,"United States","California","Lodi","95242","38.128087, -121.4078","38.12808700","-121.40780000","Female",72,"No","Yes","Yes","No",0,22073
"1282-IHQAC",1,"Q3","No",0,70,"Offer A","No","0.00","No","Yes","Cable",13,"No","Yes","Yes","No","Yes","No","No","Yes","One Year","Yes","Credit Card","44.05","3011.65","0.00","0.00","0.00","3011.65",3,"Stayed","No",0,68,4022,NULL,NULL,"United States","California","Sheep Ranch","95250","38.244806, -120.417301","38.24480600","-120.41730100","Male",68,"No","Yes","No","No",0,88
"1641-RQDAY",1,"Q3","Yes",1,32,"Offer C","Yes","49.21","Yes","Yes","Fiber Optic",19,"No","Yes","No","No","Yes","Yes","No","Yes","One Year","Yes","Bank Withdrawal","100.40","3217.65","0.00","0.00","1574.72","4792.37",3,"Stayed","No",0,59,4848,NULL,NULL,"United States","California","Wallace","95254","38.192608, -120.957842","38.19260800","-120.95784200","Female",77,"No","Yes","Yes","Yes",2,304
"5461-QKNTN",1,"Q3","Yes",1,43,"None","Yes","4.59","Yes","Yes","Fiber Optic",5,"No","Yes","No","Yes","Yes","No","No","Yes","One Year","Yes","Bank Withdrawal","94.30","3953.15","0.00","0.00","197.37","4150.52",3,"Stayed","No",0,63,2040,NULL,NULL,"United States","California","Catheys Valley","95306","37.394411, -120.127262","37.39441100","-120.12726200","Male",71,"No","Yes","Yes","No",0,986
"8089-UZWLX",1,"Q3","No",0,71,"Offer A","Yes","47.86","Yes","Yes","Fiber Optic",16,"No","No","Yes","No","Yes","Yes","No","Yes","Two Year","No","Bank Withdrawal","104.05","7413.55","0.00","0.00","3398.06","10811.61",5,"Stayed","No",0,70,4113,NULL,NULL,"United States","California","El Nido","95317","37.127386, -120.506422","37.12738600","-120.50642200","Female",75,"No","Yes","No","No",0,808
"4468-KAZHE",1,"Q3","Yes",1,20,"None","Yes","8.98","No","Yes","DSL",16,"No","Yes","No","No","No","Yes","No","Yes","One Year","Yes","Bank Withdrawal","60.00","1259.35","0.00","0.00","179.60","1438.95",5,"Stayed","No",0,37,2399,NULL,NULL,"United States","California","Hughson","95326","37.5923, -120.853288","37.59230000","-120.85328800","Female",70,"No","Yes","Yes","No",0,6822
"1543-LLLFT",1,"Q3","Yes",2,61,"None","Yes","2.19","Yes","Yes","Fiber Optic",8,"No","Yes","Yes","Yes","Yes","No","No","Yes","One Year","Yes","Credit Card","98.30","6066.55","0.00","0.00","133.59","6200.14",3,"Stayed","No",0,74,5413,NULL,NULL,"United States","California","Waterford","95386","37.669516, -120.626964","37.66951600","-120.62696400","Male",77,"No","Yes","Yes","No",0,8308
"6507-ZJSUR",1,"Q3","Yes",6,23,"None","Yes","46.82","No","Yes","Fiber Optic",11,"No","No","No","No","Yes","Yes","No","No","One Year","Yes","Bank Withdrawal","90.45","2117.25","0.00","30.00","1076.86","3224.11",4,"Stayed","No",0,24,5272,NULL,NULL,"United States","California","Albion","95410","39.225694, -123.717354","39.22569400","-123.71735400","Male",76,"No","Yes","Yes","No",0,1054
"9220-ZNKJI",1,"Q3","Yes",5,55,"None","Yes","33.21","No","Yes","Fiber Optic",4,"No","No","Yes","Yes","Yes","No","No","Yes","Two Year","No","Credit Card","88.80","4805.30","0.00","0.00","1826.55","6631.85",3,"Stayed","No",0,73,4291,NULL,NULL,"United States","California","Cobb","95426","38.838088, -122.73203","38.83808800","-122.73203000","Female",67,"No","Yes","Yes","No",0,1591
"0723-VSOBE",1,"Q3","No",0,45,"Offer B","No","0.00","No","Yes","Cable",4,"No","No","No","No","No","Yes","No","No","One Year","No","Bank Withdrawal","34.20","1596.60","0.00","0.00","0.00","1596.60",3,"Stayed","No",0,38,5715,NULL,NULL,"United States","California","Dos Rios","95429","39.756049, -123.358701","39.75604900","-123.35870100","Female",67,"No","Yes","No","No",0,91
"1004-NOZNR",1,"Q3","No",0,56,"Offer B","Yes","10.57","No","Yes","Fiber Optic",28,"Yes","No","No","No","Yes","Yes","No","Yes","One Year","No","Credit Card","94.80","5264.30","0.00","0.00","591.92","5856.22",4,"Stayed","No",0,59,5693,NULL,NULL,"United States","California","Glen Ellen","95442","38.368744, -122.522642","38.36874400","-122.52264200","Male",71,"No","Yes","No","Yes",2,4101
"1251-STYSZ",1,"Q3","No",0,4,"None","Yes","8.75","Yes","Yes","Fiber Optic",4,"Yes","No","No","No","No","No","No","No","One Year","Yes","Bank Withdrawal","80.25","303.70","0.00","30.00","35.00","368.70",4,"Stayed","No",0,20,3828,NULL,NULL,"United States","California","Glenhaven","95443","39.045246, -122.743181","39.04524600","-122.74318100","Female",66,"No","Yes","No","No",0,175
"9681-KYGYB",1,"Q3","Yes",5,49,"Offer B","Yes","26.00","Yes","Yes","Fiber Optic",16,"Yes","Yes","Yes","No","No","No","No","Yes","One Year","Yes","Bank Withdrawal","88.20","4159.45","0.00","0.00","1274.00","5433.45",4,"Stayed","No",0,24,5987,NULL,NULL,"United States","California","Kelseyville","95451","38.93496, -122.792243","38.93496000","-122.79224300","Male",75,"No","Yes","Yes","No",0,9902
"7005-CYUIL",1,"Q3","Yes",2,71,"Offer A","Yes","12.26","No","Yes","Fiber Optic",3,"Yes","Yes","Yes","Yes","Yes","No","No","Yes","Two Year","Yes","Bank Withdrawal","99.40","7168.25","0.00","0.00","870.46","8038.71",3,"Stayed","No",0,29,4964,NULL,NULL,"United States","California","Laytonville","95454","39.806141, -123.531098","39.80614100","-123.53109800","Female",78,"No","Yes","Yes","No",0,2706
"2388-LAESQ",1,"Q3","Yes",3,72,"Offer A","Yes","28.72","Yes","Yes","Fiber Optic",25,"Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Two Year","Yes","Bank Withdrawal","114.85","8317.95","0.00","0.00","2067.84","10385.79",3,"Stayed","No",0,26,4796,NULL,NULL,"United States","California","Manchester","95459","38.966713, -123.586412","38.96671300","-123.58641200","Female",74,"No","Yes","Yes","No",0,586
"3108-PCCGG",1,"Q3","Yes",3,72,"Offer A","Yes","16.72","Yes","Yes","Cable",9,"Yes","Yes","Yes","No","Yes","Yes","No","Yes","Two Year","No","Credit Card","84.45","5899.85","0.00","0.00","1203.84","7103.69",3,"Stayed","No",0,25,5856,NULL,NULL,"United States","California","Redwood Valley","95470","39.298065, -123.25211","39.29806500","-123.25211000","Male",75,"No","Yes","Yes","No",0,5995
"6729-GDNGC",1,"Q3","No",0,20,"None","Yes","21.49","No","Yes","Fiber Optic",4,"No","No","No","No","Yes","No","No","Yes","One Year","No","Bank Withdrawal","80.70","1614.20","0.00","0.00","429.80","2044.00",5,"Stayed","No",0,73,3111,NULL,NULL,"United States","California","Westport","95488","39.724433, -123.767578","39.72443300","-123.76757800","Female",71,"No","Yes","No","No",0,309
"4238-HFHSN",1,"Q3","Yes",4,61,"Offer B","Yes","26.55","Yes","Yes","Fiber Optic",2,"No","Yes","No","No","No","No","No","Yes","One Year","Yes","Bank Withdrawal","82.15","4904.85","0.00","0.00","1619.55","6524.40",3,"Stayed","No",0,33,4250,NULL,NULL,"United States","California","Elverta","95626","38.734997, -121.463719","38.73499700","-121.46371900","Male",66,"No","Yes","Yes","No",0,6197
"2692-BUCFV",1,"Q3","No",0,29,"Offer C","Yes","6.59","No","Yes","Fiber Optic",21,"No","Yes","Yes","No","Yes","Yes","No","No","One Year","Yes","Bank Withdrawal","101.45","2948.60","0.00","60.00","191.11","3199.71",4,"Stayed","No",0,76,5285,NULL,NULL,"United States","California","Shingle Springs","95682","38.598936, -120.963092","38.59893600","-120.96309200","Male",79,"No","Yes","No","No",0,24738
"5651-WYIPH",1,"Q3","No",0,18,"None","Yes","41.13","No","Yes","Cable",23,"No","Yes","No","No","No","No","No","Yes","One Year","Yes","Credit Card","49.85","865.75","0.00","0.00","740.34","1606.09",3,"Stayed","No",0,71,3283,NULL,NULL,"United States","California","Vacaville","95688","38.419088, -122.024568","38.41908800","-122.02456800","Female",69,"No","Yes","No","No",0,32564
"8752-GHJFU",1,"Q3","Yes",7,71,"None","Yes","36.60","Yes","Yes","Fiber Optic",10,"Yes","Yes","Yes","Yes","No","No","No","Yes","One Year","Yes","Bank Withdrawal","92.00","6585.20","0.00","0.00","2598.60","9183.80",3,"Stayed","No",0,66,4322,NULL,NULL,"United States","California","Applegate","95703","38.983388, -120.988814","38.98338800","-120.98881400","Male",70,"No","Yes","Yes","No",0,1526
"6896-SRVYQ",1,"Q3","No",0,44,"Offer B","Yes","47.06","No","Yes","Fiber Optic",3,"No","No","Yes","No","No","No","No","No","One Year","No","Bank Withdrawal","73.85","3122.40","0.00","100.00","2070.64","5293.04",5,"Stayed","No",0,48,4374,NULL,NULL,"United States","California","Camino","95709","38.748316, -120.675512","38.74831600","-120.67551200","Male",69,"No","Yes","No","No",0,4829
"9052-VKDUW",1,"Q3","Yes",8,65,"Offer B","Yes","15.30","Yes","Yes","Fiber Optic",29,"Yes","Yes","Yes","No","Yes","Yes","No","Yes","One Year","Yes","Credit Card","109.40","7227.45","0.00","0.00","994.50","8221.95",3,"Stayed","No",0,39,4452,NULL,NULL,"United States","California","Pollock Pines","95726","38.733908, -120.453416","38.73390800","-120.45341600","Female",68,"No","Yes","Yes","No",0,8577
"2480-EJWYP",1,"Q3","Yes",5,58,"Offer B","Yes","45.37","Yes","Yes","Fiber Optic",28,"No","Yes","No","No","Yes","Yes","No","Yes","One Year","Yes","Bank Withdrawal","97.80","5458.80","0.00","0.00","2631.46","8090.26",3,"Stayed","No",0,23,6019,NULL,NULL,"United States","California","Roseville","95747","38.784329, -121.373245","38.78432900","-121.37324500","Female",66,"No","Yes","Yes","No",0,25418
"6806-YDEUL",1,"Q3","No",0,6,"Offer E","Yes","2.03","No","No","None",0,"No","No","No","No","No","No","No","No","Two Year","No","Bank Withdrawal","19.50","106.80","0.00","0.00","12.18","118.98",3,"Stayed","No",0,77,3288,NULL,NULL,"United States","California","Sacramento","95817","38.550722, -121.457314","38.55072200","-121.45731400","Female",67,"No","Yes","No","No",0,14966
"0222-CNVPT",1,"Q3","No",0,52,"Offer B","No","0.00","No","Yes","DSL",19,"Yes","No","No","No","Yes","Yes","Yes","Yes","Two Year","Yes","Credit Card","48.80","2555.05","0.00","0.00","0.00","2555.05",3,"Stayed","No",0,67,4865,NULL,NULL,"United States","California","Sacramento","95820","38.53508, -121.444144","38.53508000","-121.44414400","Male",69,"No","Yes","No","No",0,37031
"6048-UWKAL",1,"Q3","Yes",2,69,"None","Yes","19.39","Yes","Yes","Fiber Optic",13,"No","Yes","No","Yes","Yes","Yes","Yes","Yes","Two Year","No","Credit Card","105.40","6998.95","0.00","0.00","1337.91","8336.86",4,"Stayed","No",0,45,5467,NULL,NULL,"United States","California","Beale Afb","95903","39.125311, -121.392283","39.12531100","-121.39228300","Female",73,"No","Yes","Yes","No",0,5654
"9290-SHCMB",1,"Q3","No",0,13,"None","Yes","26.68","No","Yes","Fiber Optic",24,"No","No","Yes","No","Yes","Yes","Yes","Yes","Two Year","Yes","Bank Withdrawal","96.85","1235.55","0.00","0.00","346.84","1582.39",4,"Stayed","No",0,28,3098,NULL,NULL,"United States","California","Brownsville","95919","39.440687, -121.263583","39.44068700","-121.26358300","Female",74,"No","Yes","No","No",0,1237
"2277-BKJKN",1,"Q3","Yes",6,71,"None","Yes","22.00","No","Yes","Fiber Optic",27,"No","Yes","Yes","No","Yes","Yes","Yes","Yes","Two Year","Yes","Bank Withdrawal","99.20","7213.75","0.00","0.00","1562.00","8775.75",4,"Stayed","No",0,23,4951,NULL,NULL,"United States","California","Camptonville","95922","39.432127, -121.099287","39.43212700","-121.09928700","Female",70,"No","Yes","Yes","No",0,632
"8016-ZMGMO",1,"Q3","No",0,66,"None","Yes","44.01","Yes","Yes","Cable",17,"No","Yes","Yes","No","Yes","No","No","Yes","One Year","Yes","Bank Withdrawal","70.85","4738.85","0.00","0.00","2904.66","7643.51",5,"Stayed","No",0,37,5572,NULL,NULL,"United States","California","Colusa","95932","39.273096, -122.050763","39.27309600","-122.05076300","Female",73,"No","Yes","Yes","No",0,7503
"1728-CXQBE",1,"Q3","Yes",9,64,"Offer B","Yes","23.33","Yes","Yes","Fiber Optic",29,"No","Yes","Yes","No","No","Yes","No","Yes","Two Year","Yes","Bank Withdrawal","94.25","6081.40","0.00","0.00","1493.12","7574.52",3,"Stayed","No",0,63,6020,NULL,NULL,"United States","California","Glenn","95943","39.597975, -122.032248","39.59797500","-122.03224800","Male",79,"No","Yes","Yes","No",0,1454
"0481-SUMCB",1,"Q3","No",0,45,"Offer B","Yes","34.12","Yes","Yes","Fiber Optic",15,"No","No","Yes","No","Yes","Yes","No","Yes","One Year","Yes","Bank Withdrawal","102.15","4735.35","0.00","0.00","1535.40","6270.75",4,"Stayed","No",0,69,5391,NULL,NULL,"United States","California","Greenville","95947","40.160386, -120.835428","40.16038600","-120.83542800","Female",74,"No","Yes","No","No",0,2064
"2811-POVEX",1,"Q3","Yes",4,23,"None","Yes","2.03","No","Yes","Fiber Optic",53,"No","Yes","Yes","No","No","Yes","No","Yes","Two Year","Yes","Bank Withdrawal","88.45","2130.55","0.00","0.00","46.69","2177.24",5,"Stayed","No",0,70,3937,NULL,NULL,"United States","California","Live Oak","95953","39.258746, -121.77697","39.25874600","-121.77697000","Female",74,"No","Yes","Yes","Yes",3,8695
"7905-NJMXS",1,"Q3","Yes",2,7,"None","Yes","3.19","Yes","Yes","Cable",26,"Yes","Yes","No","Yes","No","No","No","Yes","Two Year","No","Bank Withdrawal","64.20","475.00","0.00","0.00","22.33","497.33",4,"Stayed","No",0,74,5116,NULL,NULL,"United States","California","Williams","95987","39.117537, -122.284654","39.11753700","-122.28465400","Male",68,"No","Yes","Yes","No",0,4579
"9957-YODKZ",1,"Q3","Yes",4,6,"None","Yes","16.87","Yes","Yes","Fiber Optic",17,"No","No","Yes","No","No","No","No","No","Two Year","Yes","Bank Withdrawal","80.80","457.10","0.00","30.00","101.22","588.32",5,"Stayed","No",0,68,5611,NULL,NULL,"United States","California","Canby","96015","41.486953, -120.913975","41.48695300","-120.91397500","Male",75,"No","Yes","Yes","No",0,417
"3223-DWFIO",1,"Q3","No",0,4,"None","Yes","30.11","No","Yes","Fiber Optic",25,"No","No","No","No","No","No","No","Yes","Two Year","No","Bank Withdrawal","69.35","261.65","0.00","0.00","120.44","382.09",3,"Stayed","No",0,26,4140,NULL,NULL,"United States","California","Forks Of Salmon","96031","41.232128, -123.194748","41.23212800","-123.19474800","Male",77,"No","Yes","No","No",0,170
"3292-PBZEJ",1,"Q3","No",0,11,"None","Yes","2.63","Yes","Yes","Fiber Optic",13,"No","Yes","Yes","Yes","Yes","Yes","No","No","Two Year","Yes","Bank Withdrawal","111.40","1183.05","0.00","40.00","28.93","1251.98",3,"Stayed","No",0,28,3175,NULL,NULL,"United States","California","Greenview","96037","41.528541, -122.955018","41.52854100","-122.95501800","Male",75,"No","Yes","No","No",0,295
"0993-OSGPT",1,"Q3","Yes",2,68,"None","Yes","40.55","No","Yes","DSL",20,"No","Yes","Yes","Yes","No","No","No","Yes","One Year","Yes","Bank Withdrawal","60.65","3975.90","0.00","0.00","2757.40","6733.30",5,"Stayed","No",0,24,6418,NULL,NULL,"United States","California","Junction City","96048","40.913192, -123.06597","40.91319200","-123.06597000","Female",78,"No","Yes","Yes","No",0,734
"7108-DGVUU",1,"Q3","Yes",4,21,"None","Yes","30.30","Yes","Yes","DSL",18,"No","Yes","Yes","No","No","Yes","No","No","One Year","No","Bank Withdrawal","71.70","1497.05","0.00","100.00","636.30","2233.35",5,"Stayed","No",0,38,2784,NULL,NULL,"United States","California","Lookout","96054","41.280478, -121.160249","41.28047800","-121.16024900","Female",73,"No","Yes","Yes","No",0,386
"9906-NHHVC",1,"Q3","No",0,65,"Offer B","No","0.00","No","Yes","Cable",9,"No","Yes","Yes","No","Yes","Yes","No","Yes","Two Year","Yes","Bank Withdrawal","53.50","3517.90","0.00","0.00","0.00","3517.90",3,"Stayed","No",0,76,5693,NULL,NULL,"United States","California","Macdoel","96058","41.769709, -121.92063","41.76970900","-121.92063000","Female",75,"No","Yes","No","No",0,816
"8152-UOBNY",1,"Q3","No",0,50,"Offer B","Yes","10.60","Yes","Yes","Fiber Optic",14,"No","Yes","No","Yes","Yes","Yes","No","Yes","One Year","Yes","Bank Withdrawal","106.80","5347.95","0.00","0.00","530.00","5877.95",3,"Stayed","No",0,59,5746,NULL,NULL,"United States","California","Mineral","96063","40.408796, -121.579609","40.40879600","-121.57960900","Female",66,"No","Yes","No","No",0,124
"7351-KYHQH",1,"Q3","No",0,7,"None","Yes","7.82","No","Yes","Cable",7,"No","Yes","Yes","No","Yes","No","No","Yes","Two Year","Yes","Bank Withdrawal","64.95","493.65","0.00","0.00","54.74","548.39",4,"Stayed","No",0,37,4615,NULL,NULL,"United States","California","Fallbrook","92028","33.362575, -117.299644","33.36257500","-117.29964400","Female",67,"No","Yes","No","No",0,42239
"6374-NTQLP",1,"Q3","Yes",4,72,"None","Yes","16.82","No","Yes","Fiber Optic",25,"Yes","No","Yes","Yes","Yes","Yes","No","No","Two Year","Yes","Credit Card","104.10","7447.70","0.00","40.00","1211.04","8698.74",3,"Stayed","No",0,54,5092,NULL,NULL,"United States","California","Trinity Center","96091","41.081847, -122.700545","41.08184700","-122.70054500","Male",67,"No","Yes","Yes","Yes",2,734
"6267-DCFFZ",1,"Q3","Yes",8,30,"Offer C","Yes","47.75","Yes","Yes","Fiber Optic",27,"No","Yes","No","No","Yes","No","No","Yes","Two Year","Yes","Bank Withdrawal","90.05","2627.20","0.00","0.00","1432.50","4059.70",5,"Stayed","No",0,39,3792,NULL,NULL,"United States","California","Madeline","96119","41.042003, -120.506086","41.04200300","-120.50608600","Female",68,"No","Yes","Yes","No",0,85
"2439-LYPMQ",1,"Q3","Yes",7,38,"Offer C","Yes","4.75","Yes","Yes","Fiber Optic",24,"No","Yes","Yes","No","Yes","Yes","No","Yes","Two Year","Yes","Bank Withdrawal","102.60","4009.20","45.81","0.00","180.50","4143.89",4,"Stayed","No",0,40,5469,NULL,NULL,"United States","California","Milford","96121","40.181279, -120.392967","40.18127900","-120.39296700","Male",79,"No","Yes","Yes","No",0,481
"7426-WEIJX",1,"Q3","Yes",10,60,"None","Yes","18.23","Yes","Yes","Fiber Optic",11,"Yes","No","No","No","No","No","No","Yes","Two Year","Yes","Bank Withdrawal","80.95","4859.10","49.53","0.00","1093.80","5903.37",4,"Stayed","No",0,71,6214,NULL,NULL,"United States","California","Olympic Valley","96146","39.191797, -120.212401","39.19179700","-120.21240100","Male",71,"No","Yes","Yes","Yes",1,942
"3761-FLYZI",1,"Q3","Yes",4,65,"None","Yes","48.53","Yes","Yes","Fiber Optic",9,"No","Yes","Yes","No","Yes","Yes","No","Yes","Two Year","Yes","Bank Withdrawal","108.80","7082.45","21.52","0.00","3154.45","10215.38",5,"Stayed","No",0,64,5225,NULL,NULL,"United States","California","Los Angeles","90011","34.00709, -118.258681","34.00709000","-118.25868100","Female",69,"No","Yes","Yes","No",0,101215
"1060-ENTOF",1,"Q3","Yes",3,67,"None","Yes","2.67","Yes","Yes","Fiber Optic",25,"Yes","Yes","Yes","Yes","No","Yes","No","Yes","One Year","Yes","Credit Card","105.40","7035.60","0.00","0.00","178.89","7214.49",4,"Stayed","No",0,64,5703,NULL,NULL,"United States","California","Los Angeles","90028","34.099869, -118.326843","34.09986900","-118.32684300","Female",70,"No","Yes","Yes","No",0,30568
"0999-QXNSA",1,"Q3","No",0,7,"None","Yes","41.14","No","Yes","DSL",17,"No","No","No","No","No","No","No","Yes","Two Year","Yes","Credit Card","45.75","344.20","29.00","0.00","287.98","603.18",4,"Stayed","No",0,57,3779,NULL,NULL,"United States","California","Los Angeles","90029","34.089953, -118.294824","34.08995300","-118.29482400","Male",72,"No","Yes","No","Yes",1,41713
"9365-SRSZE",1,"Q3","No",0,27,"Offer C","Yes","30.49","No","Yes","Fiber Optic",16,"No","No","No","No","No","No","No","Yes","Two Year","Yes","Bank Withdrawal","70.55","1943.90","29.99","0.00","823.23","2737.14",3,"Stayed","No",0,65,2534,NULL,NULL,"United States","California","Los Angeles","90036","34.070291, -118.349191","34.07029100","-118.34919100","Male",71,"No","Yes","Yes","No",0,32901
"4918-FYJNT",1,"Q3","Yes",4,55,"None","Yes","22.74","Yes","Yes","Fiber Optic",21,"No","Yes","Yes","Yes","No","No","No","Yes","Two Year","No","Bank Withdrawal","90.45","5044.80","12.48","0.00","1250.70","6283.02",4,"Stayed","No",0,42,5140,NULL,NULL,"United States","California","Los Angeles","90063","34.044271, -118.185237","34.04427100","-118.18523700","Female",68,"No","Yes","Yes","No",0,55668
"4854-CIDCF",1,"Q3","No",0,3,"None","Yes","46.65","No","Yes","Fiber Optic",25,"No","No","Yes","No","No","No","No","Yes","Two Year","No","Bank Withdrawal","73.85","196.40","0.00","0.00","139.95","336.35",4,"Joined","No",0,74,2868,NULL,NULL,"United States","California","Los Angeles","90065","34.108833, -118.229715","34.10883300","-118.22971500","Female",74,"No","Yes","No","No",0,47534
"3280-MRDOF",1,"Q3","No",0,30,"None","Yes","19.92","Yes","Yes","DSL",30,"No","No","Yes","Yes","Yes","No","No","Yes","Two Year","Yes","Credit Card","69.10","2093.90","21.08","0.00","597.60","2670.42",3,"Stayed","No",0,75,3415,NULL,NULL,"United States","California","Los Angeles","90067","34.057496, -118.413959","34.05749600","-118.41395900","Male",69,"No","Yes","No","No",0,2527
"6407-UTSLV",1,"Q3","No",0,2,"None","Yes","32.98","No","Yes","Fiber Optic",14,"No","Yes","No","No","Yes","No","No","Yes","Two Year","Yes","Bank Withdrawal","83.80","163.70","0.00","0.00","65.96","229.66",3,"Joined","No",0,53,2885,NULL,NULL,"United States","California","Compton","90222","33.912246, -118.236773","33.91224600","-118.23677300","Female",76,"No","Yes","No","No",0,29825
"5935-FCCNB",1,"Q3","No",0,17,"None","Yes","32.19","Yes","Yes","Fiber Optic",11,"No","No","No","No","Yes","Yes","Yes","Yes","Two Year","Yes","Bank Withdrawal","94.20","1608.15","36.40","0.00","547.23","2118.98",4,"Stayed","No",0,54,4425,NULL,NULL,"United States","California","Downey","90242","33.921793, -118.140588","33.92179300","-118.14058800","Female",79,"No","Yes","No","No",0,42459
"9705-IOVQQ",1,"Q3","Yes",10,61,"None","Yes","4.51","Yes","Yes","Fiber Optic",22,"No","Yes","No","No","Yes","Yes","Yes","Yes","One Year","No","Bank Withdrawal","99.00","5969.30","21.17","0.00","275.11","6223.24",5,"Stayed","No",0,20,5177,NULL,NULL,"United States","California","Huntington Park","90255","33.97803, -118.217141","33.97803000","-118.21714100","Male",80,"No","Yes","Yes","Yes",2,78114
"1320-REHCS",1,"Q3","No",0,52,"None","Yes","23.04","Yes","Yes","Fiber Optic",25,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Two Year","Yes","Bank Withdrawal","110.75","5832.00","6.26","0.00","1198.08","7023.82",5,"Stayed","No",0,46,4993,NULL,NULL,"United States","California","Inglewood","90301","33.956445, -118.358634","33.95644500","-118.35863400","Male",75,"No","Yes","No","No",0,37527
"2057-BOYKM",1,"Q3","Yes",10,72,"None","Yes","28.09","Yes","Yes","Fiber Optic",20,"Yes","Yes","Yes","Yes","No","No","No","Yes","Two Year","Yes","Bank Withdrawal","96.60","6827.50","0.00","0.00","2022.48","8849.98",4,"Stayed","No",0,78,5153,NULL,NULL,"United States","California","Inglewood","90305","33.958134, -118.330905","33.95813400","-118.33090500","Female",70,"No","Yes","Yes","No",0,13779
"0134-XWXCE",1,"Q3","No",0,44,"None","Yes","7.72","No","Yes","DSL",17,"No","No","Yes","Yes","Yes","Yes","Yes","Yes","One Year","No","Bank Withdrawal","74.85","3268.05","17.91","0.00","339.68","3589.82",5,"Stayed","No",0,71,3253,NULL,NULL,"United States","California","Santa Monica","90403","34.031529, -118.491156","34.03152900","-118.49115600","Female",76,"No","Yes","No","No",0,23559
"2307-FYNNL",1,"Q3","No",0,65,"None","Yes","4.40","Yes","Yes","Fiber Optic",10,"Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Two Year","Yes","Bank Withdrawal","109.05","7108.20","34.67","0.00","286.00","7359.53",3,"Stayed","No",0,29,5692,NULL,NULL,"United States","California","La Mirada","90638","33.902045, -118.008961","33.90204500","-118.00896100","Male",67,"No","Yes","No","No",0,47568
"5605-XNWEN",1,"Q3","No",0,72,"None","Yes","28.99","Yes","No","None",0,"No","No","No","No","No","No","No","No","Two Year","Yes","Bank Withdrawal","25.00","1802.55","28.93","0.00","2087.28","3860.90",5,"Stayed","No",0,69,4055,NULL,NULL,"United States","California","Montebello","90640","34.015217, -118.109962","34.01521700","-118.10996200","Male",77,"No","Yes","Yes","No",0,62425
"2519-LBNQL",1,"Q3","Yes",2,60,"None","Yes","22.95","Yes","Yes","Fiber Optic",15,"No","Yes","Yes","No","Yes","Yes","Yes","Yes","One Year","Yes","Bank Withdrawal","104.35","6339.45","41.23","0.00","1377.00","7675.22",4,"Stayed","No",0,73,4040,NULL,NULL,"United States","California","Artesia","90701","33.867593, -118.080637","33.86759300","-118.08063700","Male",80,"No","Yes","Yes","No",0,16398
"8623-ULFNQ",1,"Q3","No",0,26,"None","Yes","12.09","Yes","Yes","DSL",15,"No","No","No","Yes","No","Yes","Yes","Yes","Two Year","Yes","Bank Withdrawal","66.05","1652.40","47.73","0.00","314.34","1919.01",5,"Stayed","No",0,43,3225,NULL,NULL,"United States","California","Cerritos","90703","33.8681, -118.067402","33.86810000","-118.06740200","Female",79,"No","Yes","No","No",0,51556
"7789-HKSBS",1,"Q3","Yes",2,42,"None","Yes","35.38","Yes","Yes","Fiber Optic",7,"Yes","No","Yes","No","Yes","Yes","Yes","Yes","One Year","Yes","Bank Withdrawal","105.20","4599.15","40.46","0.00","1485.96","6044.65",3,"Stayed","No",0,36,5573,NULL,NULL,"United States","California","Lakewood","90713","33.847755, -118.112532","33.84775500","-118.11253200","Female",79,"No","Yes","Yes","No",0,27563
